"Source2","Min.same","Min.diff","Strain","Isolate","state","SNP.cluster","season"
"dairy",0,2,"VA-WGS-00224","PDT000003886.3","VA","PDS000000397.16","Winter"
"dairy",2,5,"VA-WGS-00225","PDT000003887.3","VA","PDS000000397.16","Winter"
"dairy",1,4,"VA-WGS-00226","PDT000003888.3","VA","PDS000000397.16","Winter"
"dairy",1,2,"VA-WGS-00227","PDT000003889.3","VA","PDS000000397.16","Winter"
"dairy",0,1,"VA-WGS-00228","PDT000003890.3","VA","PDS000000397.16","Winter"
"dairy",5,8,"VA-WGS-00229","PDT000003891.3","VA","PDS000000397.16","Winter"
"dairy",0,4,"VA-WGS-00230","PDT000003892.3","VA","PDS000000397.16","Winter"
"dairy",1,3,"VA-WGS-00223","PDT000003914.3","VA","PDS000000397.16","Winter"
"other",9,28,"CFSAN007572","PDT000004019.3","IN","PDS000024196.41","Fall"
"leafy_greens",1,17,"CFSAN007948","PDT000004020.3","IL","PDS000025147.2","Summer"
"environment",1,2,"CFSAN010088","PDT000004038.6","DE","PDS000000397.16","Winter"
"environment",1,5,"CFSAN010089","PDT000004039.6","DE","PDS000000397.16","Winter"
"environment",5,6,"CFSAN010090","PDT000004040.6","DE","PDS000000397.16","Winter"
"environment",1,2,"CFSAN010093","PDT000004041.3","DE","PDS000000397.16","Winter"
"environment",0,2,"CFSAN010094","PDT000004042.6","DE","PDS000000397.16","Winter"
"environment",3,5,"CFSAN010096","PDT000004043.6","DE","PDS000000397.16","Winter"
"environment",1,2,"CFSAN010097","PDT000004044.3","DE","PDS000000397.16","Winter"
"environment",4,5,"CFSAN010098","PDT000004045.3","DE","PDS000000397.16","Winter"
"dairy",0,2,"VA-WGS-00232","PDT000004046.3","VA","PDS000000397.16","Winter"
"dairy",1,4,"VA-WGS-00233","PDT000004047.3","VA","PDS000000397.16","Winter"
"dairy",2,3,"VA-WGS-00234","PDT000004048.3","VA","PDS000000397.16","Winter"
"dairy",1,2,"VA-WGS-00235","PDT000004049.3","VA","PDS000000397.16","Winter"
"dairy",2,3,"VA-WGS-00236","PDT000004050.3","VA","PDS000000397.16","Winter"
"dairy",1,3,"VA-WGS-00237","PDT000004051.3","VA","PDS000000397.16","Winter"
"dairy",0,2,"VA-WGS-00238","PDT000004052.3","VA","PDS000000397.16","Winter"
"dairy",7,0,"NYAG12B11863-1","PDT000024365.3","NY","PDS000000397.16","Winter"
"environment",29,30,"CFSAN010974","PDT000024384.3","WI","PDS000024647.66","Winter"
"environment",3,20,"CFSAN010975","PDT000024385.3","WI","PDS000000319.57","Winter"
"meat",0,30,"CFSAN011019","PDT000024389.3","TX","PDS000024230.4","Spring"
"meat",0,30,"CFSAN011020","PDT000024390.3","TX","PDS000024230.4","Spring"
"meat",0,30,"CFSAN011022","PDT000024392.3","TX","PDS000024230.4","Spring"
"poultry",2,24,"CFSAN007972","PDT000024473.3","CA","PDS000003277.110","Fall"
"poultry",16,30,"CFSAN007979","PDT000024474.3","CA","PDS000024647.66","Fall"
"environment",10,24,"CFSAN008011","PDT000024480.3","TX","PDS000024989.120","Summer"
"environment",11,23,"CFSAN008013","PDT000024481.3","GA","PDS000000366.504","Summer"
"vegetables",9,29,"CFSAN008024","PDT000024482.3","WA","PDS000003277.110","Winter"
"environment",0,22,"CFSAN007971","PDT000024507.3","MI","PDS000003277.110","Fall"
"poultry",0,22,"CFSAN007973","PDT000024508.3","CA","PDS000003277.110","Fall"
"fruits",0,22,"CFSAN007977","PDT000024512.3","WA","PDS000003277.110","Fall"
"poultry",31,24,"CFSAN007978","PDT000024513.3","CA","PDS000025089.18","Fall"
"poultry",28,32,"CFSAN007983","PDT000024516.3","CA","PDS000024256.7","Fall"
"poultry",2,7,"CFSAN007987","PDT000024519.3","CA","PDS000025433.69","Fall"
"poultry",7,7,"CFSAN007988","PDT000024520.3","CA","PDS000025155.1","Fall"
"environment",18,14,"CFSAN007989","PDT000024521.3","MA","PDS000003178.36","Winter"
"fruits",2,3,"CFSAN007990","PDT000024522.3","MA","PDS000003255.56","Spring"
"environment",1,1,"CFSAN007991","PDT000024523.4","KY","PDS000003255.56","Spring"
"environment",2,3,"CFSAN007992","PDT000024524.3","MA","PDS000003255.56","Spring"
"environment",1,2,"CFSAN007993","PDT000024525.3","TX","PDS000003255.56","Winter"
"environment",12,38,"CFSAN007995","PDT000024527.3","IL","PDS000024647.66","Spring"
"environment",10,12,"CFSAN007998","PDT000024529.3","WA","PDS000025584.1","Summer"
"other",9,31,"MDH-2014-00776","PDT000025607.3","MN","PDS000025113.12","Spring"
"environment",1,32,"CFSAN012349","PDT000027721.4","NC","PDS000025433.69","Winter"
"poultry",12,13,"CFSAN012350","PDT000027722.4","NY","PDS000024989.120","Winter"
"environment",11,38,"CFSAN012353","PDT000027725.4","NC","PDS000025433.69","Winter"
"environment",4,31,"CFSAN012354","PDT000027726.4","NC","PDS000024989.120","Winter"
"environment",4,33,"CFSAN012355","PDT000027727.4","NC","PDS000024989.120","Winter"
"environment",5,22,"CFSAN008002","PDT000027885.3","WA","PDS000025154.24","Summer"
"environment",1,2,"CFSAN007574","PDT000029679.3","NY","PDS000000366.504","Fall"
"environment",7,19,"CFSAN007930","PDT000029684.3","WA","PDS000000366.504","Winter"
"environment",0,16,"CFSAN007931","PDT000029685.3","WA","PDS000000366.504","Winter"
"environment",0,16,"CFSAN007932","PDT000029686.3","WA","PDS000000366.504","Winter"
"environment",1,17,"CFSAN007933","PDT000029687.3","WA","PDS000000366.504","Winter"
"environment",4,16,"CFSAN007934","PDT000029688.3","WA","PDS000000366.504","Winter"
"environment",3,4,"CFSAN011027","PDT000029692.3","CA","PDS000025411.10","Winter"
"environment",2,3,"CFSAN011028","PDT000029693.3","CA","PDS000025411.10","Winter"
"environment",29,46,"CFSAN011032","PDT000029697.3","CA","PDS000025057.4","Winter"
"environment",3,4,"CFSAN011033","PDT000029698.3","CA","PDS000025411.10","Winter"
"environment",7,16,"CFSAN008091","PDT000004282.3","WA","PDS000000366.504","Winter"
"environment",2,3,"CFSAN010091","PDT000004313.3","DE","PDS000000397.16","Winter"
"environment",2,3,"CFSAN010095","PDT000004314.4","DE","PDS000000397.16","Winter"
"environment",0,2,"CFSAN010092","PDT000004329.3","DE","PDS000000397.16","Winter"
"dairy",1,2,"CFSAN010973","PDT000004382.3","DC","PDS000000397.16","Winter"
"leafy_greens",1,18,"CFSAN007943","PDT000004396.3","IL","PDS000025147.2","Summer"
"meat",0,35,"ACF1400367","PDT000004423.3","TX","PDS000024230.4","Winter"
"dairy",5,6,"CFSAN010972","PDT000004425.3","DC","PDS000000397.16","Winter"
"environment",2,3,"CFSAN008039","PDT000025469.3","AZ","PDS000024683.20","Winter"
"environment",1,2,"CFSAN008040","PDT000025470.3","AZ","PDS000024683.20","Winter"
"environment",0,1,"CFSAN008041","PDT000025471.3","AZ","PDS000024683.20","Winter"
"environment",0,2,"CFSAN008042","PDT000025472.3","AZ","PDS000024683.20","Winter"
"environment",5,6,"CFSAN008043","PDT000025473.3","MI","PDS000024683.20","Fall"
"environment",0,1,"CFSAN008044","PDT000025474.3","MI","PDS000024683.20","Fall"
"environment",32,33,"CFSAN008046","PDT000025476.3","MA","PDS000049906.2","Summer"
"environment",0,2,"CFSAN008048","PDT000025478.3","AZ","PDS000024683.20","Spring"
"environment",4,5,"CFSAN008049","PDT000025479.3","AZ","PDS000024683.20","Spring"
"environment",3,4,"CFSAN008050","PDT000025480.3","AZ","PDS000024683.20","Spring"
"leafy_greens",2,3,"CFSAN008052","PDT000025481.3","CA","PDS000024683.20","Spring"
"leafy_greens",1,2,"CFSAN008053","PDT000025482.3","CA","PDS000024683.20","Summer"
"leafy_greens",5,6,"CFSAN008055","PDT000025484.3","GA","PDS000024683.20","Summer"
"leafy_greens",24,25,"CFSAN008060","PDT000025486.3","NJ","PDS000024989.120","Fall"
"leafy_greens",4,5,"CFSAN008063","PDT000025487.3","AR","PDS000024683.20","Spring"
"leafy_greens",2,3,"CFSAN008064","PDT000025488.3","AR","PDS000024683.20","Spring"
"leafy_greens",5,6,"CFSAN008066","PDT000025489.3","AR","PDS000024683.20","Spring"
"dairy",2,29,"MDH-2014-00764","PDT000025596.3","MN","PDS000025113.12","Winter"
"other",3,27,"MDH-2014-00766","PDT000025598.3","MN","PDS000025113.12","Spring"
"other",0,2,"CFSAN012348","PDT000029718.3","TX","PDS000003363.31","Spring"
"dairy",0,0,"CFSAN006122","PDT000029758.2","MN","PDS000016149.19","Winter"
"environment",4,27,"CFSAN008007","PDT000024534.3","TX","PDS000024349.25","Spring"
"environment",10,31,"CFSAN008010","PDT000024536.3","GA","PDS000024989.120","Spring"
"environment",17,14,"CFSAN008015","PDT000024538.3","GA","PDS000000366.504","Summer"
"environment",0,29,"CFSAN008016","PDT000024539.3","GA","PDS000024767.24","Summer"
"vegetables",16,43,"CFSAN008017","PDT000024540.3","WA","PDS000083553.8","Winter"
"vegetables",0,22,"CFSAN008027","PDT000024543.3","WA","PDS000003277.110","Winter"
"vegetables",0,22,"CFSAN008035","PDT000024548.3","WA","PDS000003277.110","Winter"
"dairy",0,1,"VA-WGS-00239","PDT000004053.3","VA","PDS000000397.16","Winter"
"dairy",0,1,"VA-WGS-00240","PDT000004054.3","VA","PDS000000397.16","Winter"
"dairy",0,1,"VA-WGS-00241","PDT000004055.3","VA","PDS000000397.16","Winter"
"sea_food",13,23,"FDA179261","PDT000081169.2","AK","PDS000024736.40","Fall"
"sea_food",1,19,"FDA671760 2-16","PDT000081196.3","WA","PDS000000366.504","Fall"
"environment",0,8,"CFSAN036106","PDT000081204.3","WI","PDS000024989.120","Summer"
"sea_food",13,15,"FDA437641 4-1","PDT000081240.3","WA","PDS000000366.504","Fall"
"sea_food",1,18,"FDA671760 1-1","PDT000081249.3","WA","PDS000000366.504","Fall"
"environment",3,23,"FDA593589-33","PDT000081327.2","FL","PDS000024574.25","Summer"
"environment",1,21,"FDA593589-1","PDT000081332.2","FL","PDS000024574.25","Summer"
"environment",1,20,"FDA593589-37","PDT000081338.2","FL","PDS000024574.25","Summer"
"leafy_greens",0,17,"FDA881541-4-1","PDT000081593.2","CA","PDS000024278.13","Summer"
"environment",2,32,"CFSAN036814","PDT000081636.2","OH","PDS000024900.119","Spring"
"environment",0,30,"CFSAN036813","PDT000081654.2","OH","PDS000024900.119","Spring"
"leafy_greens",0,17,"FDA881541-5-1","PDT000081687.2","CA","PDS000024278.13","Summer"
"meat",0,30,"TX-ACF1400446","PDT000069989.2","TX","PDS000024230.4","Spring"
"environment",1,33,"TX-ACF1400392","PDT000069998.2","TX","PDS000024230.4","Winter"
"other",0,35,"TX-ACF1400367","PDT000070000.2","TX","PDS000024230.4","Winter"
"meat",0,32,"FDA918091-A-A","PDT000072471.2","NM","PDS000024772.4","Summer"
"vegetables",3,22,"CFSAN028716","PDT000072472.3","MD","PDS000000366.504","Fall"
"environment",3,19,"CFSAN035206","PDT000072475.2","WI","PDS000024989.120","Summer"
"poultry",6,19,"CFSAN028702","PDT000072476.3","GA","PDS000000366.504","Summer"
"dairy",1,20,"CFSAN028718","PDT000072477.2","MD","PDS000024989.120","Fall"
"dairy",0,34,"CFSAN028742","PDT000072478.2","CT","PDS000083553.8","Spring"
"vegetables",0,18,"CFSAN028745","PDT000072482.2","CA","PDS000024278.13","Spring"
"dairy",0,19,"CFSAN028717","PDT000072484.2","MD","PDS000024989.120","Fall"
"dairy",4,9,"CFSAN028773","PDT000072485.2","MD","PDS000024989.120","Winter"
"dairy",0,19,"CFSAN028721","PDT000072490.2","MD","PDS000024989.120","Spring"
"vegetables",1,32,"CFSAN028747","PDT000072496.2","MD","PDS000024870.4","Summer"
"environment",1,1,"CFSAN035204","PDT000072498.2","WI","PDS000024781.2","Summer"
"vegetables",1,3,"CFSAN028753","PDT000072500.2","CA","PDS000003363.31","Summer"
"environment",12,26,"CFSAN035209","PDT000072501.2","WI","PDS000024989.120","Spring"
"vegetables",3,23,"CFSAN028715","PDT000072505.3","MD","PDS000000366.504","Fall"
"sea_food",0,11,"CFSAN028693","PDT000072506.2","GA","PDS000003204.124","Summer"
"dairy",0,34,"CFSAN028741","PDT000072508.2","CT","PDS000083553.8","Spring"
"vegetables",0,18,"CFSAN028746","PDT000072509.2","CA","PDS000024278.13","Spring"
"vegetables",1,3,"CFSAN028754","PDT000072510.2","CA","PDS000003363.31","Summer"
"vegetables",2,5,"CFSAN028766","PDT000072511.2","MD","PDS000024989.120","Fall"
"dairy",0,19,"CFSAN028743","PDT000072516.2","MD","PDS000024989.120","Spring"
"environment",5,8,"CFSAN035207","PDT000072518.2","WI","PDS000024781.2","Summer"
"vegetables",0,2,"CFSAN028751","PDT000072522.2","CA","PDS000003363.31","Summer"
"meat",0,32,"FDA918091-B-A","PDT000072523.2","NM","PDS000024772.4","Summer"
"fruits",4,33,"CFSAN028728","PDT000072525.2","CT","PDS000083553.8","Winter"
"vegetables",0,2,"CFSAN028752","PDT000072526.2","CA","PDS000003363.31","Summer"
"dairy",0,19,"CFSAN028712","PDT000072530.2","MD","PDS000024989.120","Summer"
"dairy",0,20,"CFSAN028763","PDT000072531.2","MD","PDS000024989.120","Fall"
"sea_food",2,11,"CFSAN028695","PDT000072535.2","GA","PDS000003204.124","Summer"
"dairy",0,34,"CFSAN028739","PDT000072539.2","CT","PDS000083553.8","Spring"
"poultry",0,36,"CFSAN028701","PDT000072547.2","GA","PDS000044696.8","Summer"
"poultry",0,14,"CFSAN028755","PDT000072559.2","GA","PDS000024856.163","Summer"
"vegetables",4,10,"CFSAN028765","PDT000072561.2","MD","PDS000024989.120","Fall"
"poultry",0,14,"CFSAN028756","PDT000072572.2","GA","PDS000024856.163","Summer"
"vegetables",7,13,"CFSAN028778","PDT000072574.2","MD","PDS000024989.120","Winter"
"dairy",1,20,"CFSAN028719","PDT000072580.2","MD","PDS000024989.120","Fall"
"dairy",0,19,"CFSAN028722","PDT000072581.2","MD","PDS000024989.120","Spring"
"sea_food",2,11,"CFSAN028696","PDT000072585.2","GA","PDS000003204.124","Summer"
"dairy",0,19,"CFSAN028720","PDT000072586.2","MD","PDS000024989.120","Fall"
"dairy",1,21,"CFSAN028776","PDT000072594.2","MD","PDS000024989.120","Winter"
"sea_food",0,11,"CFSAN028694","PDT000072596.2","GA","PDS000003204.124","Summer"
"fruits",0,36,"CFSAN028698","PDT000072597.2","GA","PDS000044696.8","Summer"
"dairy",1,3,"CFSAN028688","PDT000072602.2","CA","PDS000024511.5","Spring"
"environment",1,0,"CFSAN035205","PDT000072614.2","WI","PDS000024781.2","Summer"
"dairy",0,19,"CFSAN028711","PDT000072626.2","MD","PDS000024989.120","Summer"
"dairy",2,6,"CFSAN028687","PDT000072628.2","CA","PDS000024511.5","Spring"
"vegetables",1,33,"CFSAN028748","PDT000072632.2","MD","PDS000024870.4","Summer"
"dairy",1,21,"CFSAN028775","PDT000072636.2","MD","PDS000024989.120","Winter"
"environment",10,10,"TX-ACF1501659","PDT000077135.2","TX","PDS000025513.38","Summer"
"environment",22,20,"TX-ACF1501660","PDT000077136.2","TX","PDS000003232.57","Summer"
"other",25,27,"TX-ACF1501534","PDT000077141.2","TX","PDS000024241.98","Summer"
"environment",0,11,"FDA197101-27","PDT000077327.2","NY","PDS000024856.163","Summer"
"environment",1,12,"FDA197101-19","PDT000077328.2","NY","PDS000024856.163","Summer"
"environment",3,15,"FDA197101-6","PDT000077329.2","NY","PDS000024856.163","Summer"
"sea_food",3,16,"FDA230702-1","PDT000077330.2","NY","PDS000024856.163","Spring"
"environment",0,10,"FDA476975-1","PDT000077331.2","NY","PDS000024856.163","Fall"
"sea_food",3,17,"FDA694252-1","PDT000077334.2","NY","PDS000024645.152","Summer"
