"Source","Min.same","Min.diff","Location","Strain","Isolate","state"
"dairy",1,3,"USA","MOD1_LS806","PDT000218208.2","CA"
"dairy",1,9,"USA","MOD1-LS1207","PDT000218209.2","TX"
"chicken",0,3,"USA","MOD1_LS814","PDT000218210.2","TX"
"dairy",0,3,"USA","MOD1-LS1184","PDT000218211.2","TX"
"dairy",2,5,"USA","MOD1-LS1183","PDT000218213.2","TX"
"beef",6,10,"USA","FLAG-3906","PDT000329791.1","FL"
"pork",29,43,"USA","FLAG-40882","PDT000329794.1","FL"
"fish",0,4,"USA","18FMFO000194-1","PDT000309268.4","MI"
"fish",10,23,"USA","FLAG-50817B","PDT000311727.2","FL"
"beans",4,12,"USA","FDA411341 1-7","PDT000312591.2","OR"
"beans",4,12,"USA","FDA411341 2-12","PDT000312593.2","OR"
"beans",3,11,"USA","FDA487936 2-1","PDT000312602.2","OR"
"beans",7,15,"USA","FDA411340 1-1","PDT000312606.2","OR"
"fish",0,15,"USA","FDA328898 1","PDT000325524.1","CA"
"beef",4,30,"USA","FLAG-2167","PDT000329591.1","FL"
"beans",1,12,"USA","FDA600724 2-6","PDT000307481.2","WA"
"beans",1,11,"USA","FDA600724 2-7","PDT000307485.2","WA"
"pork",7,7,"USA","CFSAN026704","PDT000044541.2","IL"
"fish",13,24,"USA","VA-WGS-00401","PDT000044705.2","VA"
"fish",28,22,"USA","VA-WGS-00398","PDT000044708.2","VA"
"avocado",0,13,"USA","VA-WGS-00403","PDT000045726.2","VA"
"pork",0,4,"USA","MDH-2014-01084","PDT000046374.2","MN"
"fish",0,2,"USA","FDA864641-2-1","PDT000046916.3","CA"
"fish",0,2,"USA","FDA864641-1-1","PDT000046955.3","CA"
"avocado",0,8,"USA","MDH-2014-00959","PDT000039049.2","MN"
"avocado",0,28,"USA","MDH-2014-00957","PDT000039050.2","MN"
"water",0,0,"USA","FDA835096 1-1","PDT000039051.2","IL"
"avocado",0,15,"USA","MDH-2014-00952","PDT000039052.2","MN"
"avocado",0,23,"USA","MDH-2014-00956","PDT000039053.2","MN"
"avocado",0,11,"USA","MDH-2014-00954","PDT000039055.2","MN"
"avocado",0,11,"USA","MDH-2014-00947","PDT000039056.2","MN"
"avocado",0,22,"USA","MDH-2014-00958","PDT000039061.2","MN"
"avocado",0,7,"USA","MDH-2014-00953","PDT000039063.2","MN"
"avocado",0,16,"USA","MDH-2014-00962","PDT000039275.2","MN"
"beans",0,0,"USA","FDA835095 1-1","PDT000040646.2","IL"
"chicken",0,3,"USA","MOD1_LS661","PDT000041255.2","TX"
"chicken",1,8,"USA","MOD1_LS663","PDT000041258.2","TX"
"fish",0,26,"USA","NYAG_14B10302-3","PDT000041565.2","NY"
"dairy",1,27,"USA","MOD1_LS308","PDT000040658.2","USA"
"dairy",0,23,"USA","MOD1_LS324","PDT000040665.2","USA"
"dairy",0,23,"USA","MOD1_LS323","PDT000040668.2","USA"
"dairy",3,5,"USA","FDA929452-1,1-10","PDT000098240.2","PA"
"dairy",3,6,"USA","FDA929452-1,1-2","PDT000098241.2","PA"
"chicken",0,11,"USA","FLAG-81514","PDT000098555.2","FL"
"fish",1,0,"USA","FLAG-86581","PDT000098556.2","FL"
"beef",0,25,"USA","FLAG-74915","PDT000098563.2","FL"
"beef",0,25,"USA","FLAG-74917","PDT000098564.2","FL"
"fish",3,3,"USA","FLAG-74930","PDT000098565.2","FL"
"fish",10,12,"USA","FLAG-75552","PDT000098566.2","FL"
"dairy",0,0,"USA","WAPHL-LIS-A00039","PDT000100175.2","WA"
"dairy",0,0,"USA","WAPHL-LIS-A00044","PDT000100176.2","WA"
"dairy",0,0,"USA","WAPHL-LIS-A00040","PDT000100177.2","WA"
"beans",0,0,"USA","VA-WGS-00645","PDT000100178.2","VA"
"dairy",2,2,"USA","WAPHL-LIS-A00041","PDT000101284.2","WA"
"dairy",0,0,"USA","WAPHL-LIS-A00042","PDT000101285.2","WA"
"dairy",0,0,"USA","WAPHL-LIS-A00043","PDT000101286.2","WA"
"dairy",2,3,"USA","WAPHL_LIS_A00011","PDT000101400.2","WA"
"dairy",3,5,"USA","WAPHL_LIS_A00015","PDT000101401.2","WA"
"dairy",0,3,"USA","WAPHL_LIS_A00016","PDT000101402.2","WA"
"dairy",0,5,"USA","WAPHL_LIS_A00017","PDT000101403.2","WA"
"dairy",0,5,"USA","WAPHL_LIS_A00019","PDT000101404.2","WA"
"chicken",26,37,"USA","NRRL B-33446","PDT000102509.3","GA"
"chicken",14,20,"USA","NRRL B-33945","PDT000102570.3","MD"
"dairy",2,2,"USA","NRRL B-33157","PDT000102584.3","CA"
"pork",15,21,"USA","NRRL B-33310","PDT000102586.3","IA"
"dairy",4,4,"USA","CFSAN003433","PDT000102634.3","CA"
"chicken",6,22,"USA","CFSAN004333","PDT000102645.3","CA"
"chicken",11,34,"USA","CFSAN004336","PDT000102648.3","CA"
"dairy",1,4,"USA","WAPHL_LIS_A00013","PDT000100949.2","WA"
"fish",1,53,"USA","FLAG-59811","PDT000143850.2","FL"
"fish",2,19,"USA","FLAG-59917","PDT000143851.2","FL"
"fish",4,21,"USA","FLAG-59918","PDT000143852.2","FL"
"fish",6,14,"USA","FLAG-59919","PDT000143853.2","FL"
"fish",1,6,"USA","FLAG-59920","PDT000143854.2","FL"
"fish",1,7,"USA","FLAG-59921","PDT000143855.2","FL"
"fish",8,16,"USA","FLAG-59922","PDT000143856.2","FL"
"beef",21,21,"USA","FLAG-60111","PDT000143857.2","FL"
"chicken",14,3,"USA","FLAG-60435","PDT000143859.2","FL"
"pork",0,19,"USA","FLAG-60641","PDT000144538.2","FL"
"beef",1,14,"USA","IA_2014012111","PDT000145890.3","IA"
"dairy",17,9,"USA","FDA214199","PDT000146167.2","IL"
"dairy",4,31,"USA","CFSAN054120","PDT000146311.2","AL"
"dairy",0,0,"USA","FDA640332-1","PDT000140162.2","NJ"
"dairy",1,1,"USA","FDA700152-1","PDT000140168.2","NJ"
"dairy",1,1,"USA","FDA700152-2","PDT000140169.2","NJ"
"dairy",3,3,"USA","FDA716207-1","PDT000140170.2","NJ"
"dairy",2,2,"USA","FDA716207-2","PDT000140171.2","NJ"
"dairy",0,0,"USA","FDA743759-1","PDT000140172.2","NJ"
"dairy",0,0,"USA","FDA743759-2","PDT000140173.2","NJ"
"dairy",3,25,"USA","FDA808581-1","PDT000140182.2","NY"
"dairy",18,3,"USA","FDA808581-2","PDT000140183.2","NY"
"beans",0,2,"USA","FDA507438-1","PDT000140184.3","CT"
"beans",1,3,"USA","FDA507438-5","PDT000140185.2","CT"
"beans",2,2,"USA","FDA507439-1","PDT000140186.2","CT"
"beans",1,1,"USA","FDA507439-7","PDT000140187.3","CT"
"beans",1,1,"USA","FDA507443","PDT000140188.2","CT"
"beans",3,3,"USA","FDA524844","PDT000140189.2","CT"
"beans",0,1,"USA","FDA524840-2","PDT000140190.2","CT"
"beans",0,1,"USA","FDA524840-1","PDT000140191.2","CT"
"beans",1,1,"USA","FDA524840-3","PDT000140192.2","CT"
"beans",0,1,"USA","FDA524840-4","PDT000140193.2","CT"
"beans",0,0,"USA","FDA524840-5","PDT000140194.2","CT"
"beans",0,0,"USA","FDA524840-6","PDT000140195.2","CT"
"dairy",8,32,"USA","WAPHL-LIS-A00046","PDT000140765.2","WA"
"dairy",3,4,"USA","FLAG-57313","PDT000138853.2","FL"
"fish",2,17,"USA","FLAG-51657","PDT000138859.3","FL"
"fish",5,10,"USA","FLAG-59810","PDT000138860.2","FL"
"fish",15,10,"USA","FLAG-55656","PDT000138866.2","FL"
"dairy",10,20,"USA","FDA606723","PDT000142895.2","WI"
"chicken",2,7,"USA","FDA466151","PDT000142901.2","USA"
"beef",0,5,"USA","FDA466148","PDT000142902.2","USA"
"dairy",2,31,"USA","WAPHLLISA00048","PDT000143616.4","WA"
"dairy",2,31,"USA","WAPHLLISA00047","PDT000143617.2","WA"
"fish",17,20,"USA","FLAG-51500A","PDT000143840.2","FL"
"fish",13,26,"USA","FDA792288","PDT000141627.2","FL"
"beef",1,18,"USA","CFSAN063729","PDT000208949.2","WA"
"beef",3,19,"USA","CFSAN063730","PDT000208950.2","WA"
"beef",2,20,"USA","CFSAN063728","PDT000208952.2","WA"
"beef",2,18,"USA","CFSAN063731","PDT000208953.2","WA"
"beef",1,19,"USA","CFSAN063727","PDT000208955.2","WA"
"dairy",10,10,"USA","FLAG-26682","PDT000213676.2","FL"
"avocado",0,36,"USA","FDA802792 S 4 S1","PDT000213759.2","CA"
"beef",1,12,"USA","FLAG-27278","PDT000216399.2","FL"
"chicken",4,6,"USA","12FMFO000478","PDT000217365.3","MI"
"avocado",0,16,"USA","FDA866278 C4","PDT000208379.2","CA"
"dairy",4,7,"USA","FLAG-26440","PDT000208380.2","FL"
"dairy",2,3,"USA","FDA895132-4","PDT000208579.1","CA"
"dairy",3,4,"USA","FDA895132-1","PDT000208587.1","CA"
"dairy",0,1,"USA","FDA895132-3","PDT000208600.1","CA"
"dairy",1,2,"USA","FDA895132-2","PDT000208617.1","CA"
"dairy",0,1,"USA","FDA752730-1","PDT000208622.1","CA"
"dairy",1,2,"USA","FDA878675-1","PDT000208623.1","CA"
"dairy",0,1,"USA","FDA752729-2","PDT000208624.1","CA"
"dairy",0,1,"USA","FDA752729-1","PDT000208625.1","CA"
"dairy",1,2,"USA","FDA752730-2","PDT000208627.1","CA"
"dairy",0,2,"USA","FDA878675-2","PDT000208631.1","CA"
"avocado",0,36,"USA","FDA802792 C C1","PDT000213858.2","CA"
"avocado",1,21,"USA","FDA854428 S19","PDT000213999.2","UT"
"avocado",0,12,"USA","FDA859897-3-S1","PDT000214000.2","WA"
"avocado",0,12,"USA","FDA859897-3-C1","PDT000214006.2","WA"
"avocado",0,10,"USA","FDA831281-C","PDT000214018.2","VA"
"avocado",2,5,"USA","FDA854428 C3","PDT000215841.2","UT"
"pork",13,20,"USA","FDA663715","PDT000215874.2","FL"
"dairy",2,22,"USA","18B01371-4","PDT000295666.2","NY"
"dairy",0,25,"USA","18B01585-7","PDT000295667.2","NY"
"dairy",0,25,"USA","18B01585-4","PDT000295672.2","NY"
"beef",11,12,"USA","05B06641E-1","PDT000295673.2","NY"
"dairy",6,28,"USA","FDA160916","PDT000295723.2","CA"
"fish",2,13,"USA","FDA446166 1-1","PDT000295724.2","WA"
"fish",14,20,"USA","FDA437640 2-18","PDT000295844.2","WA"
"chicken",0,29,"USA","14FMFO000478","PDT000297505.3","MI"
"chicken",0,29,"USA","14FMFO000501A","PDT000297512.3","MI"
"dairy",7,8,"USA","FDA266003-C001-001","PDT000297532.2","CA"
"beef",14,24,"USA","05B07989E-1","PDT000303024.2","NY"
"dairy",9,9,"USA","FDA568230-1","PDT000292460.2","NJ"
"dairy",9,25,"USA","FDA568230-2","PDT000292475.2","NJ"
"beef",0,8,"USA","FLAG-2285","PDT000293145.2","FL"
"chicken",23,34,"USA","FLAG-4636","PDT000293147.2","FL"
"pork",1,14,"USA","FLAG-4546","PDT000293151.2","FL"
"pork",1,14,"USA","FLAG-4544","PDT000293161.2","FL"
"pork",0,9,"USA","FLAG-2266","PDT000293179.2","FL"
"pork",0,8,"USA","FLAG-2267","PDT000293183.2","FL"
"water",0,23,"USA","CFSAN072527","PDT000303927.3","NY"
"fish",10,18,"USA","FDA680240 1-6","PDT000303944.2","WA"
"beans",4,12,"USA","FDA487936 1-1","PDT000303945.2","OR"
"fish",5,10,"USA","FDA437640 1-8","PDT000303956.2","WA"
"water",0,9,"USA","CFSAN072534","PDT000303971.3","NY"
"fish",6,18,"USA","FDA680240 2-20","PDT000303980.2","WA"
"chicken",17,18,"USA","CFSAN072451","PDT000303996.3","IL"
"beef",1,1,"USA","NC_18MP0057_isolate1","PDT000304822.2","NC"
"beef",6,15,"USA","05B07450E-1","PDT000303033.2","NY"
"fish",2,39,"USA","05B07990A-1","PDT000303037.2","NY"
"fish",3,38,"USA","05B07991A-1","PDT000303059.2","NY"
"pork",0,9,"USA","FLAG-2268","PDT000293174.2","FL"
"beef",0,8,"USA","FLAG-2284","PDT000293175.2","FL"
"beef",1,9,"USA","FLAG-2283","PDT000293177.2","FL"
"chicken",22,25,"USA","CFSAN018382","PDT000033866.3","CA"
"pork",3,37,"USA","CFSAN018440","PDT000033874.3","NY"
"beef",20,18,"USA","CFSAN018437","PDT000033893.3","NJ"
"pork",12,31,"USA","CFSAN018403","PDT000033908.3","WI"
"pork",1,17,"USA","CFSAN018404","PDT000033909.3","WI"
"dairy",19,28,"USA","FDA849577","PDT000033920.4","MA"
"pork",5,5,"USA","CFSAN018426","PDT000033973.3","FL"
"pork",10,27,"USA","MOD1_LS76","PDT000034694.3","USA"
"dairy",0,1,"USA","MOD1_LS81","PDT000034696.3","NY"
"dairy",4,5,"USA","MOD1_LS84","PDT000034697.3","USA"
"dairy",4,5,"USA","MOD1_LS85","PDT000034698.3","USA"
"dairy",0,1,"USA","MOD1_LS86","PDT000034699.12","USA"
"avocado",0,15,"USA","MDH-2014-00837","PDT000035209.3","MN"
"avocado",0,15,"USA","MDH-2014-00839","PDT000035278.3","MN"
"pork",16,19,"USA","CFSAN018422","PDT000035302.8","NJ"
"beans",1,23,"USA","WAPHL-LIS-A00005","PDT000031737.3","WA"
"beans",0,22,"USA","WAPHL-LIS-A00006","PDT000031738.3","WA"
"beef",1,11,"USA","CFSAN013594","PDT000032130.3","NJ"
"pork",12,29,"USA","CFSAN013597","PDT000032133.3","KY"
"chicken",29,29,"USA","CFSAN013599","PDT000032135.3","TX"
"chicken",23,37,"USA","CFSAN018420","PDT000034339.3","MO"
"pork",1,16,"USA","CFSAN018407","PDT000034329.3","WI"
"pork",25,26,"USA","CFSAN018415","PDT000034334.3","NJ"
"pork",15,24,"USA","CFSAN013602","PDT000032138.3","CA"
"dairy",1,3,"USA","CFSAN011015","PDT000032175.4","MD"
"dairy",4,5,"USA","CFSAN011016","PDT000032176.4","MD"
"dairy",0,4,"USA","CFSAN011017","PDT000032177.4","MD"
"dairy",1,2,"USA","CFSAN011018","PDT000032178.4","MD"
"fish",13,13,"USA","FLAG-03709","PDT000085350.2","FL"
"fish",13,18,"USA","FLAG-28010","PDT000085351.2","FL"
"chicken",3,14,"USA","FLAG-03497","PDT000085353.2","FL"
"pork",11,6,"USA","FLAG-23669","PDT000085355.3","FL"
"beef",0,14,"USA","FLAG-28477","PDT000085356.3","FL"
"fish",0,0,"USA","FLAG-28572","PDT000085357.2","FL"
"chicken",9,21,"USA","FLAG-25998","PDT000085358.2","FL"
"beef",1,15,"USA","FLAG-28476","PDT000085359.3","FL"
"pork",31,32,"USA","FLAG-21748","PDT000087353.2","FL"
"fish",5,14,"USA","FLAG-11291","PDT000087356.6","FL"
"fish",1,19,"USA","FLAG-09988","PDT000087357.8","FL"
"fish",1,18,"USA","FLAG-10005","PDT000087358.8","FL"
"fish",0,15,"USA","FLAG-09674","PDT000087360.8","FL"
"pork",5,26,"USA","FLAG-09073","PDT000088599.2","FL"
"dairy",3,4,"USA","FLAG-13069","PDT000092275.2","FL"
"pork",8,15,"USA","FLAG-90943","PDT000086498.2","FL"
"pork",5,9,"USA","FLAG-92121","PDT000086502.2","FL"
"beef",1,29,"USA","AK1216500192-3","PDT000086507.2","AK"
"pork",23,26,"USA","FLAG-92540","PDT000086512.2","FL"
"fish",1,1,"USA","FLAG-93057","PDT000086513.2","FL"
"fish",15,4,"USA","FLAG-15236","PDT000086521.2","FL"
"dairy",0,13,"USA","FLAG-13308","PDT000086529.2","FL"
"fish",7,11,"USA","FLAG-12396","PDT000086532.3","FL"
"dairy",0,13,"USA","FLAG-12224","PDT000086533.2","FL"
"pork",4,29,"USA","FLAG-09486","PDT000086556.2","FL"
"chicken",29,30,"USA","FLAG-08833","PDT000086557.2","FL"
"pork",9,3,"USA","FLAG-05949","PDT000086565.3","FL"
"dairy",1,1,"USA","FDA739934 1-1","PDT000086599.2","CA"
"dairy",0,0,"USA","FDA739935 1-1","PDT000086600.2","CA"
"dairy",3,10,"USA","FLAG-28101","PDT000085362.2","FL"
"beef",0,14,"USA","FLAG-28475","PDT000085363.3","FL"
"fish",0,15,"USA","FLAG-00051","PDT000085365.2","FL"
"pork",1,36,"USA","FLAG-19002","PDT000085375.3","FL"
"fish",1,25,"USA","FLAG-27672","PDT000085378.6","FL"
"avocado",0,20,"USA","TX-856011.SUB.20","PDT000085494.2","TX"
"avocado",3,23,"USA","TX-856011.COMP.4","PDT000085508.2","TX"
"avocado",8,9,"USA","TX-854428.SUB.17","PDT000085509.3","TX"
"avocado",1,22,"USA","TX-854428.SUB.19","PDT000085510.2","TX"
"avocado",0,20,"USA","TX-856011.SUB.12","PDT000085512.3","TX"
"avocado",2,7,"USA","TX-854428.COMP.3","PDT000085513.2","TX"
"avocado",2,7,"USA","TX-854428.SUB.13","PDT000085514.3","TX"
"avocado",0,24,"USA","TX-861559.COMP.3","PDT000085517.2","TX"
"avocado",0,25,"USA","TX-861559.SUB.15","PDT000085518.2","TX"
"avocado",0,23,"USA","TX-868396.COMP.4","PDT000086131.2","TX"
"avocado",14,16,"USA","TX-868396.SUB.14","PDT000086132.2","TX"
"avocado",0,23,"USA","TX-868396.SUB.18","PDT000086134.2","TX"
"avocado",0,4,"USA","TX-871048.COMP.4","PDT000086138.3","TX"
"avocado",0,4,"USA","TX-871048.SUB.17","PDT000086139.2","TX"
"avocado",2,14,"USA","TX-871048.SUB.20","PDT000086140.2","TX"
"chicken",2,17,"USA","FLAG-11795","PDT000086855.2","FL"
"chicken",7,22,"USA","FLAG-11796","PDT000086856.2","FL"
"chicken",4,13,"USA","FLAG-12218","PDT000086857.2","FL"
"pork",0,0,"USA","FLAG-07973","PDT000086861.2","FL"
"beans",16,13,"USA","TX-AML1503267","PDT000086885.2","TX"
"beef",1,28,"USA","CFSAN048862","PDT000128530.2","CA"
"beef",0,26,"USA","CFSAN048830","PDT000128577.2","CA"
"dairy",6,30,"USA","ARS-CC9298","PDT000129292.2","NY"
"beef",1,29,"USA","CFSAN049108","PDT000129347.2","CA"
"beef",1,28,"USA","CFSAN049109","PDT000129348.2","CA"
"beef",1,27,"USA","CFSAN049110","PDT000129349.2","CA"
"beef",5,32,"USA","CFSAN049114","PDT000129352.2","CA"
"beef",1,27,"USA","CFSAN049115","PDT000129353.2","CA"
"beef",4,30,"USA","CFSAN049046","PDT000129361.2","CA"
"beef",2,28,"USA","CFSAN049077","PDT000129394.2","CA"
"beef",0,35,"USA","CFSAN049078","PDT000129395.2","CA"
